Time,Open,High,Low,Close,Volume
2024-06-28T05:00:00+0000,174.9,174.9,174.9,174.9,0
2024-07-01T05:00:00+0000,175.9,175.9,175.9,175.9,0
2024-07-02T05:00:00+0000,176.9,178.2,176.9,178.2,3
2024-07-03T05:00:00+0000,178.4,178.4,178.4,178.4,0
2024-07-04T05:00:00+0000,175.6,175.6,175.6,175.6,0
2024-07-05T05:00:00+0000,172.5,172.5,172.5,172.5,0
2024-07-08T05:00:00+0000,172.0,172.0,172.0,172.0,0
2024-07-09T05:00:00+0000,173.6,174.0,173.6,174.0,1
2024-07-10T05:00:00+0000,173.0,173.0,173.0,173.0,0
2024-07-11T05:00:00+0000,173.3,173.3,173.3,173.3,0
2024-07-12T05:00:00+0000,172.4,172.4,172.4,172.4,0
2024-07-15T05:00:00+0000,170.2,170.2,170.2,170.2,0
2024-07-16T05:00:00+0000,170.5,170.5,170.5,170.5,0
2024-07-17T05:00:00+0000,171.1,171.1,171.1,171.1,0
2024-07-18T05:00:00+0000,172.4,172.4,172.4,172.4,0
2024-07-19T05:00:00+0000,172.0,172.0,172.0,172.0,0
2024-07-22T05:00:00+0000,172.1,172.1,172.1,172.1,0
2024-07-23T05:00:00+0000,170.1,170.1,170.1,170.1,0
2024-07-24T05:00:00+0000,172.6,172.6,172.4,172.4,3
2024-07-25T05:00:00+0000,170.7,170.7,170.7,170.7,0
2024-07-26T05:00:00+0000,171.6,172.5,171.6,172.5,1
2024-07-29T05:00:00+0000,172.8,172.8,172.8,172.8,7
2024-07-30T05:00:00+0000,170.5,170.5,170.5,170.5,0
2024-07-31T05:00:00+0000,171.6,172.0,171.6,172.0,9
2024-08-01T05:00:00+0000,172.5,173.1,172.5,173.1,1
2024-08-02T05:00:00+0000,176.4,176.4,176.4,176.4,0
2024-08-05T05:00:00+0000,177.3,177.3,175.6,175.6,2
2024-08-06T05:00:00+0000,176.2,176.3,176.0,176.0,3
2024-08-07T05:00:00+0000,177.5,177.5,177.5,177.5,1
2024-08-08T05:00:00+0000,178.3,178.9,178.3,178.5,3
2024-08-12T05:00:00+0000,180.3,180.3,180.3,180.3,0
2024-08-13T05:00:00+0000,180.4,180.8,180.3,180.5,6
2024-08-14T05:00:00+0000,179.1,179.1,179.1,179.1,0
2024-08-15T05:00:00+0000,180.7,181.2,180.7,181.2,1
2024-08-16T05:00:00+0000,180.9,180.9,180.9,180.9,0
2024-08-19T05:00:00+0000,182.1,182.1,182.0,182.0,1
2024-08-20T05:00:00+0000,183.2,183.2,182.4,182.4,66
2024-08-21T05:00:00+0000,184.2,184.2,183.6,183.8,40
2024-08-22T05:00:00+0000,182.4,182.8,182.4,182.8,8
2024-08-23T05:00:00+0000,184.9,185.2,184.3,184.6,56
2024-08-26T05:00:00+0000,185.8,186.9,185.8,186.4,63
2024-08-27T05:00:00+0000,186.9,187.4,186.6,187.3,114
2024-08-28T05:00:00+0000,188.4,188.7,188.1,188.4,12
2024-08-29T05:00:00+0000,189.0,189.0,187.2,187.5,28
2024-08-30T05:00:00+0000,188.3,188.8,187.7,187.7,15
2024-09-02T05:00:00+0000,184.4,184.4,183.1,183.2,16
2024-09-03T05:00:00+0000,183.5,183.5,181.3,181.8,21
2024-09-04T05:00:00+0000,180.3,180.3,179.1,179.5,33
2024-09-05T05:00:00+0000,181.7,182.2,181.3,181.8,8
2024-09-06T05:00:00+0000,183.1,186.0,182.6,186.0,6
2024-09-09T05:00:00+0000,185.7,188.9,185.1,188.7,44
2024-09-10T05:00:00+0000,188.9,188.9,187.1,187.2,24
2024-09-11T05:00:00+0000,187.9,187.9,186.5,187.2,4
2024-09-12T05:00:00+0000,186.0,190.7,186.0,190.5,10
2024-09-13T05:00:00+0000,191.0,191.0,189.9,190.8,130
2024-09-16T05:00:00+0000,192.0,193.4,191.2,193.4,68
2024-09-17T05:00:00+0000,196.1,197.9,195.9,197.9,134
2024-09-18T05:00:00+0000,198.4,199.4,196.1,197.9,52
2024-09-19T05:00:00+0000,200.0,200.9,199.7,200.9,157
2024-09-20T05:00:00+0000,199.8,200.2,199.8,200.2,6
2024-09-23T05:00:00+0000,194.6,196.7,192.6,196.7,26
2024-09-24T05:00:00+0000,198.5,206.8,198.5,206.4,337
2024-09-25T05:00:00+0000,207.5,214.3,204.4,204.4,645
2024-09-26T05:00:00+0000,207.1,207.7,205.9,206.8,125
2024-09-27T05:00:00+0000,207.1,208.7,204.9,206.5,69
2024-09-30T05:00:00+0000,214.7,218.3,213.7,218.3,127
2024-10-01T05:00:00+0000,221.1,221.1,216.4,216.4,10
2024-10-02T05:00:00+0000,217.3,218.6,216.7,217.7,26
2024-10-03T05:00:00+0000,209.7,209.7,202.8,203.1,223
2024-10-04T05:00:00+0000,204.7,205.6,203.9,203.9,241
2024-10-07T05:00:00+0000,210.4,216.5,210.4,216.5,17
2024-10-08T05:00:00+0000,219.9,220.4,205.9,206.8,336
2024-10-09T05:00:00+0000,211.2,212.8,205.5,205.9,97
2024-10-10T05:00:00+0000,205.6,205.9,195.2,198.4,116
2024-10-11T05:00:00+0000,201.4,202.8,197.6,202.4,92
2024-10-14T05:00:00+0000,201.3,205.0,201.3,203.2,6
2024-10-15T05:00:00+0000,202.4,206.4,202.4,206.4,97
2024-10-16T05:00:00+0000,201.8,202.0,198.4,199.8,33
2024-10-17T05:00:00+0000,201.5,201.5,200.1,200.1,12
2024-10-18T05:00:00+0000,203.9,206.1,203.9,204.8,107
2024-10-21T05:00:00+0000,199.3,203.4,199.3,203.4,142
2024-10-22T05:00:00+0000,205.1,205.4,204.8,205.1,66
2024-10-23T05:00:00+0000,204.5,204.5,201.1,202.2,36
2024-10-24T05:00:00+0000,201.6,203.9,201.6,203.6,96
